iter	Passed	Remaining
905	2631	272
906	2633	270
907	2635	267
908	2638	264
909	2641	261
910	2643	258
911	2646	255
912	2648	252
913	2651	249
914	2653	246
915	2656	243
916	2658	240
917	2661	237
918	2664	234
919	2667	231
920	2670	229
921	2673	226
922	2675	223
923	2678	220
924	2681	217
925	2683	214
926	2686	211
927	2689	208
928	2692	205
929	2695	202
930	2697	199
931	2700	197
932	2703	194
933	2706	191
934	2708	188
935	2711	185
936	2714	182
937	2716	179
938	2719	176
939	2722	173
940	2724	170
941	2727	167
942	2730	165
943	2732	162
944	2735	159
945	2737	156
946	2740	153
947	2742	150
948	2745	147
949	2748	144
950	2750	141
951	2753	138
952	2755	135
953	2758	133
954	2761	130
955	2763	127
956	2766	124
957	2769	121
958	2771	118
959	2774	115
960	2776	112
961	2779	109
962	2781	106
963	2784	103
964	2786	101
965	2789	98
966	2792	95
967	2795	92
968	2797	89
969	2800	86
970	2802	83
971	2805	80
972	2807	77
973	2810	75
974	2813	72
975	2815	69
976	2818	66
977	2820	63
978	2823	60
979	2825	57
980	2828	54
981	2830	51
982	2833	49
983	2835	46
984	2838	43
985	2840	40
986	2843	37
987	2846	34
988	2848	31
989	2851	28
990	2853	25
991	2856	23
992	2859	20
993	2861	17
994	2864	14
995	2867	11
996	2869	8
997	2872	5
998	2874	2
999	2877	0
